month,airline_id,unique_carrier,carrier,carrier_name,carrier_group_new,sdomt_gallons,satl_gallons,spac_gallons,slat_gallons,sint_gallons,ts_gallons,tdomt_gallons,tint_gallons,total_gallons,sdomt_cost,satl_cost,spac_cost,slat_cost,sint_cost,ts_cost,tdomt_cost,tint_cost,total_cost,year
10,20366.0,EV,EV,ExpressJet Airlines Inc.,3,81937.0,0.0,0.0,0.0,0.0,81937.0,81937.0,0.0,81937.0,208003.0,0.0,0.0,0.0,0.0,208003.0,208003.0,0.0,208003.0,2015
10,20436.0,F9,F9,Frontier Airlines Inc.,3,15956961.0,0.0,0.0,943502.0,943502.0,16900463.0,15992985.0,943502.0,16936487.0,22478579.0,0.0,0.0,1475956.0,1475956.0,23954535.0,22532980.0,1475956.0,24008936.0,2015
10,20107.0,FX,FX,Federal Express Corporation,3,59050342.0,12271992.0,19223194.0,2286542.0,33781728.0,92832070.0,59961832.0,34521062.0,94482894.0,86175000.0,18474000.0,29442000.0,3749000.0,51665000.0,137840000.0,87535000.0,53216000.0,140751000.0,2015
10,20368.0,G4,G4,Allegiant Air,2,11112227.0,0.0,0.0,0.0,0.0,11112227.0,11672418.0,0.0,11672418.0,19128201.0,0.0,0.0,0.0,0.0,19128201.0,20222240.0,0.0,20222240.0,2015
10,20500.0,G7,G7,GoJet Airlines LLC d/b/a United Express,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015
10,20166.0,GFQ,GFQ,Gulf And Caribbean Cargo,1,0.0,0.0,0.0,0.0,0.0,0.0,358063.0,117659.0,475722.0,0.0,0.0,0.0,0.0,0.0,0.0,699230.0,235143.0,934373.0,2015
10,20402.0,GL,GL,Miami Air International,2,0.0,0.0,0.0,0.0,0.0,0.0,399822.0,204655.0,604477.0,0.0,0.0,0.0,0.0,0.0,0.0,864255.0,442382.0,1306637.0,2015
10,19690.0,HA,HA,Hawaiian Airlines Inc.,3,13422164.0,0.0,5922001.0,0.0,5922001.0,19344165.0,13467745.0,5922001.0,19389746.0,20400176.0,0.0,9296046.0,0.0,9296046.0,29696222.0,20470030.0,9296046.0,29766076.0,2015
10,20370.0,KAQ,KAQ,Kalitta Air LLC,2,0.0,0.0,0.0,0.0,0.0,0.0,476885.0,2868697.0,3345582.0,0.0,0.0,0.0,0.0,0.0,0.0,917885.0,5827918.0,6745803.0,2015
10,21629.0,KD,KD,Western Global,1,0.0,0.0,0.0,0.0,0.0,0.0,2233.0,0.0,2233.0,0.0,0.0,0.0,0.0,0.0,0.0,2233.0,0.0,2233.0,2015
10,21634.0,KH,KH,Aloha Air Cargo,1,446107.0,0.0,0.0,0.0,0.0,446107.0,446107.0,0.0,446107.0,674712.0,0.0,0.0,0.0,0.0,674712.0,674712.0,0.0,674712.0,2015
10,20372.0,KLQ,KLQ,Kalitta Charters II,1,0.0,0.0,0.0,0.0,0.0,0.0,275235.0,30046.0,305281.0,0.0,0.0,0.0,0.0,0.0,0.0,557706.0,63048.0,620754.0,2015
